Hand data:
Mean euler angle for the hand position:X=40,96°, Y=-15,10°, Z=-88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°

Arm data:
Mean euler angle for the arm position:X=-51,35°, Y=58,31°, Z=-106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
Roll (x-axis): -51,35°, Pitch (y-axis): 58,31°, Yaw (z-axis): -106,85°
