Euler Angles for hand rotation relative to Arm):Mean values: X: -0,29, Y: 0,24, Z: 3,02
Roll (x-axis): 29,19°, Pitch (y-axis): 7,94°, Yaw (z-axis): 94,97°
Roll (x-axis): 29,19°, Pitch (y-axis): 7,95°, Yaw (z-axis): 94,94°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,94°, Yaw (z-axis): 94,94°
Roll (x-axis): 29,16°, Pitch (y-axis): 7,95°, Yaw (z-axis): 94,93°
Roll (x-axis): 29,13°, Pitch (y-axis): 7,94°, Yaw (z-axis): 94,96°
Roll (x-axis): 29,22°, Pitch (y-axis): 7,93°, Yaw (z-axis): 95,08°
Roll (x-axis): 29,31°, Pitch (y-axis): 8,04°, Yaw (z-axis): 94,99°
Roll (x-axis): 29,42°, Pitch (y-axis): 8,05°, Yaw (z-axis): 95,08°
Roll (x-axis): 29,48°, Pitch (y-axis): 8,13°, Yaw (z-axis): 95,01°
Roll (x-axis): 29,62°, Pitch (y-axis): 8,18°, Yaw (z-axis): 95,04°
Roll (x-axis): 29,91°, Pitch (y-axis): 8,33°, Yaw (z-axis): 95,04°
Roll (x-axis): 29,98°, Pitch (y-axis): 8,36°, Yaw (z-axis): 95,06°
Roll (x-axis): 29,99°, Pitch (y-axis): 8,39°, Yaw (z-axis): 95,05°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,41°, Yaw (z-axis): 95,05°
Roll (x-axis): 30,13°, Pitch (y-axis): 8,44°, Yaw (z-axis): 95,06°
Roll (x-axis): 30,10°, Pitch (y-axis): 8,44°, Yaw (z-axis): 95,08°
Roll (x-axis): 29,76°, Pitch (y-axis): 8,18°, Yaw (z-axis): 95,40°
Roll (x-axis): 29,60°, Pitch (y-axis): 8,18°, Yaw (z-axis): 95,38°
Roll (x-axis): 29,53°, Pitch (y-axis): 8,19°, Yaw (z-axis): 96,23°
Roll (x-axis): 29,26°, Pitch (y-axis): 8,08°, Yaw (z-axis): 96,43°
Roll (x-axis): 29,20°, Pitch (y-axis): 8,07°, Yaw (z-axis): 96,42°
Roll (x-axis): 29,29°, Pitch (y-axis): 8,11°, Yaw (z-axis): 96,44°
Roll (x-axis): 29,35°, Pitch (y-axis): 8,14°, Yaw (z-axis): 96,44°
Roll (x-axis): 29,41°, Pitch (y-axis): 8,15°, Yaw (z-axis): 96,45°
Roll (x-axis): 29,29°, Pitch (y-axis): 8,10°, Yaw (z-axis): 96,49°
Roll (x-axis): 29,20°, Pitch (y-axis): 8,07°, Yaw (z-axis): 96,51°
Roll (x-axis): 31,32°, Pitch (y-axis): 9,14°, Yaw (z-axis): 97,91°
Roll (x-axis): 30,85°, Pitch (y-axis): 9,04°, Yaw (z-axis): 101,02°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,68°, Yaw (z-axis): 102,19°
Roll (x-axis): 30,06°, Pitch (y-axis): 8,68°, Yaw (z-axis): 102,19°
Roll (x-axis): 30,05°, Pitch (y-axis): 8,69°, Yaw (z-axis): 102,19°
Roll (x-axis): 30,13°, Pitch (y-axis): 8,69°, Yaw (z-axis): 102,18°
Roll (x-axis): 30,00°, Pitch (y-axis): 8,66°, Yaw (z-axis): 102,13°
Roll (x-axis): 29,95°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,10°
Roll (x-axis): 29,94°, Pitch (y-axis): 8,66°, Yaw (z-axis): 102,10°
Roll (x-axis): 29,95°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,11°
Roll (x-axis): 29,97°, Pitch (y-axis): 8,66°, Yaw (z-axis): 102,11°
Roll (x-axis): 30,08°, Pitch (y-axis): 8,68°, Yaw (z-axis): 102,20°
Roll (x-axis): 30,07°, Pitch (y-axis): 8,70°, Yaw (z-axis): 102,19°
Roll (x-axis): 30,09°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,31°
Roll (x-axis): 30,08°, Pitch (y-axis): 8,69°, Yaw (z-axis): 102,28°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,68°, Yaw (z-axis): 102,30°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,31°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,04°, Pitch (y-axis): 8,67°, Yaw (z-axis): 102,32°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,34°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,34°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,34°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,35°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,35°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,35°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,35°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,35°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,37°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,37°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,65°, Yaw (z-axis): 102,37°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,64°, Yaw (z-axis): 102,37°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,64°, Yaw (z-axis): 102,37°
Roll (x-axis): 30,03°, Pitch (y-axis): 8,64°, Yaw (z-axis): 102,37°

Arm data:
Mean euler angle for the arm position:X=-88,22°, Y=78,31°, Z=147,51°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,83°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,87°
Roll (x-axis): -87,85°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,86°
Roll (x-axis): -87,71°, Pitch (y-axis): 78,34°, Yaw (z-axis): 148,03°
Roll (x-axis): -87,65°, Pitch (y-axis): 78,31°, Yaw (z-axis): 148,05°
Roll (x-axis): -87,74°, Pitch (y-axis): 78,32°, Yaw (z-axis): 147,96°
Roll (x-axis): -88,05°, Pitch (y-axis): 78,35°, Yaw (z-axis): 147,72°
Roll (x-axis): -88,16°, Pitch (y-axis): 78,34°, Yaw (z-axis): 147,62°
Roll (x-axis): -88,16°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,56°
Roll (x-axis): -88,45°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,31°
Roll (x-axis): -88,89°, Pitch (y-axis): 78,35°, Yaw (z-axis): 146,92°
Roll (x-axis): -89,00°, Pitch (y-axis): 78,28°, Yaw (z-axis): 146,71°
Roll (x-axis): -89,00°, Pitch (y-axis): 78,28°, Yaw (z-axis): 146,71°
Roll (x-axis): -89,00°, Pitch (y-axis): 78,31°, Yaw (z-axis): 146,76°
Roll (x-axis): -88,82°, Pitch (y-axis): 78,34°, Yaw (z-axis): 146,97°
Roll (x-axis): -88,76°, Pitch (y-axis): 78,30°, Yaw (z-axis): 146,99°
Roll (x-axis): -88,58°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,14°
Roll (x-axis): -88,71°, Pitch (y-axis): 78,32°, Yaw (z-axis): 147,05°
Roll (x-axis): -88,76°, Pitch (y-axis): 78,30°, Yaw (z-axis): 146,99°
Roll (x-axis): -88,76°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,04°
Roll (x-axis): -88,65°, Pitch (y-axis): 78,31°, Yaw (z-axis): 147,12°
Roll (x-axis): -88,51°, Pitch (y-axis): 78,32°, Yaw (z-axis): 147,27°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,40°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,40°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,33°, Yaw (z-axis): 147,33°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
Roll (x-axis): -88,47°, Pitch (y-axis): 78,28°, Yaw (z-axis): 147,25°
