Hand data:
Mean euler angle for the hand position:X=0,00°, Y=0,00°, Z=0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°

Arm data:
Mean euler angle for the arm position:X=-137,90°, Y=69,62°, Z=-26,70°
Roll (x-axis): -137,36°, Pitch (y-axis): 69,39°, Yaw (z-axis): -26,03°
Roll (x-axis): -137,47°, Pitch (y-axis): 69,45°, Yaw (z-axis): -26,15°
Roll (x-axis): -137,48°, Pitch (y-axis): 69,47°, Yaw (z-axis): -26,17°
Roll (x-axis): -137,48°, Pitch (y-axis): 69,47°, Yaw (z-axis): -26,17°
Roll (x-axis): -137,46°, Pitch (y-axis): 69,46°, Yaw (z-axis): -26,15°
Roll (x-axis): -137,50°, Pitch (y-axis): 69,59°, Yaw (z-axis): -26,12°
Roll (x-axis): -137,75°, Pitch (y-axis): 69,73°, Yaw (z-axis): -26,33°
Roll (x-axis): -137,77°, Pitch (y-axis): 69,75°, Yaw (z-axis): -26,37°
Roll (x-axis): -137,61°, Pitch (y-axis): 69,62°, Yaw (z-axis): -26,26°
Roll (x-axis): -137,44°, Pitch (y-axis): 69,50°, Yaw (z-axis): -26,13°
Roll (x-axis): -137,48°, Pitch (y-axis): 69,53°, Yaw (z-axis): -26,15°
Roll (x-axis): -137,47°, Pitch (y-axis): 69,54°, Yaw (z-axis): -26,14°
Roll (x-axis): -137,41°, Pitch (y-axis): 69,52°, Yaw (z-axis): -26,09°
Roll (x-axis): -137,32°, Pitch (y-axis): 69,48°, Yaw (z-axis): -26,01°
Roll (x-axis): -138,01°, Pitch (y-axis): 69,88°, Yaw (z-axis): -26,54°
Roll (x-axis): -137,89°, Pitch (y-axis): 69,82°, Yaw (z-axis): -26,46°
Roll (x-axis): -138,02°, Pitch (y-axis): 69,85°, Yaw (z-axis): -26,57°
Roll (x-axis): -138,00°, Pitch (y-axis): 69,86°, Yaw (z-axis): -26,56°
Roll (x-axis): -138,03°, Pitch (y-axis): 69,87°, Yaw (z-axis): -26,59°
Roll (x-axis): -138,03°, Pitch (y-axis): 69,87°, Yaw (z-axis): -26,59°
Roll (x-axis): -138,03°, Pitch (y-axis): 69,87°, Yaw (z-axis): -26,59°
Roll (x-axis): -137,78°, Pitch (y-axis): 69,56°, Yaw (z-axis): -26,52°
Roll (x-axis): -136,65°, Pitch (y-axis): 69,05°, Yaw (z-axis): -25,52°
Roll (x-axis): -138,51°, Pitch (y-axis): 70,07°, Yaw (z-axis): -27,14°
Roll (x-axis): -140,93°, Pitch (y-axis): 69,39°, Yaw (z-axis): -29,44°
Roll (x-axis): -137,75°, Pitch (y-axis): 69,50°, Yaw (z-axis): -26,56°
Roll (x-axis): -138,54°, Pitch (y-axis): 69,99°, Yaw (z-axis): -27,42°
Roll (x-axis): -137,81°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,73°
Roll (x-axis): -137,79°, Pitch (y-axis): 69,65°, Yaw (z-axis): -26,70°
Roll (x-axis): -137,32°, Pitch (y-axis): 69,42°, Yaw (z-axis): -26,39°
Roll (x-axis): -137,44°, Pitch (y-axis): 69,43°, Yaw (z-axis): -26,51°
Roll (x-axis): -138,21°, Pitch (y-axis): 69,91°, Yaw (z-axis): -27,16°
Roll (x-axis): -137,58°, Pitch (y-axis): 69,53°, Yaw (z-axis): -26,68°
Roll (x-axis): -136,93°, Pitch (y-axis): 69,19°, Yaw (z-axis): -26,19°
Roll (x-axis): -137,89°, Pitch (y-axis): 69,77°, Yaw (z-axis): -26,93°
Roll (x-axis): -138,38°, Pitch (y-axis): 70,00°, Yaw (z-axis): -27,34°
Roll (x-axis): -138,33°, Pitch (y-axis): 70,00°, Yaw (z-axis): -27,31°
Roll (x-axis): -138,42°, Pitch (y-axis): 70,03°, Yaw (z-axis): -27,40°
Roll (x-axis): -137,74°, Pitch (y-axis): 69,71°, Yaw (z-axis): -26,85°
Roll (x-axis): -138,56°, Pitch (y-axis): 70,10°, Yaw (z-axis): -27,52°
Roll (x-axis): -138,58°, Pitch (y-axis): 70,11°, Yaw (z-axis): -27,54°
Roll (x-axis): -138,52°, Pitch (y-axis): 70,06°, Yaw (z-axis): -27,49°
Roll (x-axis): -138,51°, Pitch (y-axis): 70,06°, Yaw (z-axis): -27,47°
Roll (x-axis): -138,54°, Pitch (y-axis): 70,08°, Yaw (z-axis): -27,50°
Roll (x-axis): -138,54°, Pitch (y-axis): 70,08°, Yaw (z-axis): -27,52°
Roll (x-axis): -137,89°, Pitch (y-axis): 69,63°, Yaw (z-axis): -26,96°
Roll (x-axis): -139,34°, Pitch (y-axis): 70,42°, Yaw (z-axis): -28,08°
Roll (x-axis): -138,54°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,37°
Roll (x-axis): -138,57°, Pitch (y-axis): 70,08°, Yaw (z-axis): -27,41°
Roll (x-axis): -138,51°, Pitch (y-axis): 69,94°, Yaw (z-axis): -27,38°
Roll (x-axis): -138,29°, Pitch (y-axis): 69,99°, Yaw (z-axis): -26,98°
Roll (x-axis): -138,46°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,11°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -138,47°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,13°
Roll (x-axis): -132,38°, Pitch (y-axis): 64,95°, Yaw (z-axis): -19,35°
Roll (x-axis): -137,35°, Pitch (y-axis): 69,21°, Yaw (z-axis): -25,82°
Roll (x-axis): -137,56°, Pitch (y-axis): 69,47°, Yaw (z-axis): -26,22°
Roll (x-axis): -137,80°, Pitch (y-axis): 69,61°, Yaw (z-axis): -26,42°
Roll (x-axis): -137,72°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,34°
Roll (x-axis): -137,57°, Pitch (y-axis): 69,47°, Yaw (z-axis): -26,26°
Roll (x-axis): -137,58°, Pitch (y-axis): 69,47°, Yaw (z-axis): -26,28°
Roll (x-axis): -137,74°, Pitch (y-axis): 69,63°, Yaw (z-axis): -26,53°
Roll (x-axis): -137,57°, Pitch (y-axis): 69,48°, Yaw (z-axis): -26,44°
Roll (x-axis): -137,86°, Pitch (y-axis): 69,66°, Yaw (z-axis): -26,63°
Roll (x-axis): -137,46°, Pitch (y-axis): 69,45°, Yaw (z-axis): -26,39°
Roll (x-axis): -137,86°, Pitch (y-axis): 69,69°, Yaw (z-axis): -26,70°
Roll (x-axis): -137,80°, Pitch (y-axis): 69,56°, Yaw (z-axis): -26,73°
Roll (x-axis): -137,73°, Pitch (y-axis): 69,55°, Yaw (z-axis): -26,67°
Roll (x-axis): -137,35°, Pitch (y-axis): 69,37°, Yaw (z-axis): -26,40°
Roll (x-axis): -136,86°, Pitch (y-axis): 69,12°, Yaw (z-axis): -26,00°
Roll (x-axis): -137,84°, Pitch (y-axis): 69,69°, Yaw (z-axis): -26,79°
Roll (x-axis): -137,92°, Pitch (y-axis): 69,78°, Yaw (z-axis): -26,82°
Roll (x-axis): -138,02°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,90°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,95°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,95°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,95°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,95°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,95°
Roll (x-axis): -137,90°, Pitch (y-axis): 69,74°, Yaw (z-axis): -26,83°
Roll (x-axis): -137,71°, Pitch (y-axis): 69,66°, Yaw (z-axis): -26,68°
Roll (x-axis): -137,75°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,72°
Roll (x-axis): -137,63°, Pitch (y-axis): 69,63°, Yaw (z-axis): -26,62°
Roll (x-axis): -138,00°, Pitch (y-axis): 69,79°, Yaw (z-axis): -26,88°
Roll (x-axis): -138,06°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,93°
Roll (x-axis): -138,13°, Pitch (y-axis): 69,85°, Yaw (z-axis): -26,99°
Roll (x-axis): -137,95°, Pitch (y-axis): 69,76°, Yaw (z-axis): -26,84°
Roll (x-axis): -137,59°, Pitch (y-axis): 69,52°, Yaw (z-axis): -26,55°
Roll (x-axis): -138,42°, Pitch (y-axis): 69,85°, Yaw (z-axis): -27,30°
Roll (x-axis): -138,22°, Pitch (y-axis): 66,18°, Yaw (z-axis): -26,31°
Roll (x-axis): -137,57°, Pitch (y-axis): 68,02°, Yaw (z-axis): -26,95°
Roll (x-axis): -137,69°, Pitch (y-axis): 68,29°, Yaw (z-axis): -27,04°
Roll (x-axis): -138,23°, Pitch (y-axis): 68,75°, Yaw (z-axis): -27,40°
