Hand data:
Mean euler angle for the hand position:X=103,04°, Y=-52,28°, Z=97,56°
Mean euler angle for the arm position:X=94,15°, Y=22,01°, Z=155,98°
Roll (x-axis): 93,91°, Pitch (y-axis): 21,32°, Yaw (z-axis): 156,24°
Roll (x-axis): 93,73°, Pitch (y-axis): 21,16°, Yaw (z-axis): 156,24°
Roll (x-axis): 93,76°, Pitch (y-axis): 21,13°, Yaw (z-axis): 156,28°
Roll (x-axis): 93,67°, Pitch (y-axis): 21,13°, Yaw (z-axis): 156,26°
Roll (x-axis): 93,73°, Pitch (y-axis): 21,10°, Yaw (z-axis): 156,28°
Roll (x-axis): 93,76°, Pitch (y-axis): 21,05°, Yaw (z-axis): 156,31°
Roll (x-axis): 93,82°, Pitch (y-axis): 20,99°, Yaw (z-axis): 156,34°
Roll (x-axis): 93,85°, Pitch (y-axis): 20,98°, Yaw (z-axis): 156,37°
Roll (x-axis): 93,85°, Pitch (y-axis): 20,95°, Yaw (z-axis): 156,37°
Roll (x-axis): 93,98°, Pitch (y-axis): 21,39°, Yaw (z-axis): 156,21°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,04°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,06°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,96°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,08°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,96°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,96°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,10°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,09°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
