Euler Angles for hand rotation relative to Arm):Mean values: X: NaN, Y: NaN, Z: NaN
Euler Angles for arm pronation-supination rotation):Mean values: X: 105,01, Y: 17,08, Z: -67,91
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°

Arm data:
Mean euler angle for the arm position:X=-137,32°, Y=69,43°, Z=-26,17°
Roll (x-axis): -137,95°, Pitch (y-axis): 69,70°, Yaw (z-axis): -28,01°
Roll (x-axis): -137,94°, Pitch (y-axis): 69,71°, Yaw (z-axis): -28,00°
Roll (x-axis): -137,94°, Pitch (y-axis): 69,71°, Yaw (z-axis): -28,00°
Roll (x-axis): -137,94°, Pitch (y-axis): 69,71°, Yaw (z-axis): -28,00°
Roll (x-axis): -137,94°, Pitch (y-axis): 69,71°, Yaw (z-axis): -28,00°
Roll (x-axis): -137,94°, Pitch (y-axis): 69,71°, Yaw (z-axis): -28,00°
Roll (x-axis): -138,03°, Pitch (y-axis): 69,77°, Yaw (z-axis): -28,08°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,77°, Yaw (z-axis): -28,10°
Roll (x-axis): -138,09°, Pitch (y-axis): 69,79°, Yaw (z-axis): -28,13°
Roll (x-axis): -135,45°, Pitch (y-axis): 69,31°, Yaw (z-axis): -24,71°
Roll (x-axis): -137,29°, Pitch (y-axis): 69,54°, Yaw (z-axis): -25,85°
Roll (x-axis): -137,32°, Pitch (y-axis): 69,55°, Yaw (z-axis): -25,88°
Roll (x-axis): -137,08°, Pitch (y-axis): 69,45°, Yaw (z-axis): -25,70°
Roll (x-axis): -136,97°, Pitch (y-axis): 69,38°, Yaw (z-axis): -25,63°
Roll (x-axis): -137,50°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,03°
Roll (x-axis): -137,44°, Pitch (y-axis): 69,65°, Yaw (z-axis): -25,98°
Roll (x-axis): -137,45°, Pitch (y-axis): 69,65°, Yaw (z-axis): -26,00°
Roll (x-axis): -137,45°, Pitch (y-axis): 69,65°, Yaw (z-axis): -26,00°
Roll (x-axis): -137,48°, Pitch (y-axis): 69,65°, Yaw (z-axis): -26,04°
Roll (x-axis): -137,51°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,07°
Roll (x-axis): -137,51°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,07°
Roll (x-axis): -137,56°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,12°
Roll (x-axis): -137,56°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,12°
Roll (x-axis): -137,26°, Pitch (y-axis): 69,52°, Yaw (z-axis): -25,91°
Roll (x-axis): -137,30°, Pitch (y-axis): 69,52°, Yaw (z-axis): -25,94°
Roll (x-axis): -137,31°, Pitch (y-axis): 69,54°, Yaw (z-axis): -25,94°
Roll (x-axis): -137,37°, Pitch (y-axis): 69,56°, Yaw (z-axis): -25,99°
Roll (x-axis): -137,37°, Pitch (y-axis): 69,56°, Yaw (z-axis): -25,99°
Roll (x-axis): -137,45°, Pitch (y-axis): 69,60°, Yaw (z-axis): -26,06°
Roll (x-axis): -137,27°, Pitch (y-axis): 69,54°, Yaw (z-axis): -25,91°
Roll (x-axis): -137,26°, Pitch (y-axis): 69,52°, Yaw (z-axis): -25,91°
Roll (x-axis): -137,39°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,01°
Roll (x-axis): -137,41°, Pitch (y-axis): 69,59°, Yaw (z-axis): -26,04°
Roll (x-axis): -137,41°, Pitch (y-axis): 69,59°, Yaw (z-axis): -26,04°
Roll (x-axis): -137,57°, Pitch (y-axis): 69,67°, Yaw (z-axis): -26,17°
Roll (x-axis): -137,14°, Pitch (y-axis): 69,43°, Yaw (z-axis): -25,84°
Roll (x-axis): -137,36°, Pitch (y-axis): 69,44°, Yaw (z-axis): -25,95°
Roll (x-axis): -137,60°, Pitch (y-axis): 69,66°, Yaw (z-axis): -26,12°
Roll (x-axis): -137,74°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,34°
Roll (x-axis): -137,33°, Pitch (y-axis): 69,35°, Yaw (z-axis): -26,10°
Roll (x-axis): -137,20°, Pitch (y-axis): 69,34°, Yaw (z-axis): -25,97°
Roll (x-axis): -137,50°, Pitch (y-axis): 69,43°, Yaw (z-axis): -26,47°
Roll (x-axis): -138,05°, Pitch (y-axis): 69,95°, Yaw (z-axis): -27,08°
Roll (x-axis): -138,00°, Pitch (y-axis): 69,92°, Yaw (z-axis): -27,03°
Roll (x-axis): -137,92°, Pitch (y-axis): 69,77°, Yaw (z-axis): -27,05°
Roll (x-axis): -137,61°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,86°
Roll (x-axis): -138,17°, Pitch (y-axis): 69,84°, Yaw (z-axis): -27,31°
Roll (x-axis): -137,96°, Pitch (y-axis): 69,95°, Yaw (z-axis): -27,02°
Roll (x-axis): -137,70°, Pitch (y-axis): 69,83°, Yaw (z-axis): -26,82°
Roll (x-axis): -137,56°, Pitch (y-axis): 69,71°, Yaw (z-axis): -26,70°
Roll (x-axis): -137,76°, Pitch (y-axis): 69,84°, Yaw (z-axis): -26,85°
Roll (x-axis): -137,83°, Pitch (y-axis): 69,86°, Yaw (z-axis): -26,91°
Roll (x-axis): -137,99°, Pitch (y-axis): 70,05°, Yaw (z-axis): -27,00°
Roll (x-axis): -137,99°, Pitch (y-axis): 70,07°, Yaw (z-axis): -27,00°
Roll (x-axis): -138,02°, Pitch (y-axis): 70,09°, Yaw (z-axis): -27,02°
Roll (x-axis): -138,32°, Pitch (y-axis): 70,52°, Yaw (z-axis): -27,19°
Roll (x-axis): -128,88°, Pitch (y-axis): 60,38°, Yaw (z-axis): -13,84°
Roll (x-axis): -134,10°, Pitch (y-axis): 67,72°, Yaw (z-axis): -22,12°
Roll (x-axis): -135,77°, Pitch (y-axis): 68,54°, Yaw (z-axis): -24,45°
Roll (x-axis): -137,06°, Pitch (y-axis): 69,29°, Yaw (z-axis): -25,58°
Roll (x-axis): -138,21°, Pitch (y-axis): 69,42°, Yaw (z-axis): -26,91°
Roll (x-axis): -137,99°, Pitch (y-axis): 69,46°, Yaw (z-axis): -26,92°
Roll (x-axis): -138,06°, Pitch (y-axis): 69,48°, Yaw (z-axis): -26,99°
Roll (x-axis): -138,09°, Pitch (y-axis): 69,52°, Yaw (z-axis): -27,02°
Roll (x-axis): -137,88°, Pitch (y-axis): 69,53°, Yaw (z-axis): -26,79°
Roll (x-axis): -137,80°, Pitch (y-axis): 69,53°, Yaw (z-axis): -26,62°
Roll (x-axis): -137,39°, Pitch (y-axis): 69,37°, Yaw (z-axis): -26,17°
Roll (x-axis): -137,29°, Pitch (y-axis): 69,31°, Yaw (z-axis): -26,66°
Roll (x-axis): -137,71°, Pitch (y-axis): 69,48°, Yaw (z-axis): -26,95°
Roll (x-axis): -137,36°, Pitch (y-axis): 69,31°, Yaw (z-axis): -26,21°
Roll (x-axis): -138,07°, Pitch (y-axis): 69,69°, Yaw (z-axis): -26,77°
Roll (x-axis): -137,80°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,56°
Roll (x-axis): -137,02°, Pitch (y-axis): 69,13°, Yaw (z-axis): -25,92°
Roll (x-axis): -138,15°, Pitch (y-axis): 69,91°, Yaw (z-axis): -26,77°
Roll (x-axis): -137,80°, Pitch (y-axis): 69,71°, Yaw (z-axis): -26,43°
Roll (x-axis): -137,67°, Pitch (y-axis): 69,56°, Yaw (z-axis): -26,35°
Roll (x-axis): -137,55°, Pitch (y-axis): 69,58°, Yaw (z-axis): -26,27°
Roll (x-axis): -137,71°, Pitch (y-axis): 69,62°, Yaw (z-axis): -26,38°
Roll (x-axis): -138,03°, Pitch (y-axis): 69,88°, Yaw (z-axis): -26,62°
Roll (x-axis): -138,09°, Pitch (y-axis): 69,90°, Yaw (z-axis): -26,67°
Roll (x-axis): -137,32°, Pitch (y-axis): 69,55°, Yaw (z-axis): -25,89°
Roll (x-axis): -137,26°, Pitch (y-axis): 69,51°, Yaw (z-axis): -25,87°
Roll (x-axis): -137,46°, Pitch (y-axis): 69,61°, Yaw (z-axis): -26,03°
Roll (x-axis): -137,10°, Pitch (y-axis): 69,27°, Yaw (z-axis): -25,79°
Roll (x-axis): -135,86°, Pitch (y-axis): 67,81°, Yaw (z-axis): -24,90°
Roll (x-axis): -136,97°, Pitch (y-axis): 69,24°, Yaw (z-axis): -25,66°
Roll (x-axis): -136,89°, Pitch (y-axis): 69,15°, Yaw (z-axis): -25,62°
Roll (x-axis): -136,61°, Pitch (y-axis): 69,05°, Yaw (z-axis): -25,39°
Roll (x-axis): -137,05°, Pitch (y-axis): 69,25°, Yaw (z-axis): -25,77°
Roll (x-axis): -137,04°, Pitch (y-axis): 69,23°, Yaw (z-axis): -25,76°
