Euler Angles for hand rotation relative to Arm):Mean values: X: -0,04, Y: -0,02, Z: -0,07
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°

Arm data:
Mean quaternion for the arm position:
W: 1,00, X: 0,00, Y: 0,00, Z: 0,00
Mean euler angle for the arm position:X=0,04°, Y=0,02°, Z=0,07°
Roll (x-axis): 98,00°, Pitch (y-axis): 36,79°, Yaw (z-axis): -158,27°
Roll (x-axis): 98,00°, Pitch (y-axis): 36,79°, Yaw (z-axis): -158,27°
Roll (x-axis): 98,00°, Pitch (y-axis): 36,79°, Yaw (z-axis): -158,27°
Roll (x-axis): 98,00°, Pitch (y-axis): 36,79°, Yaw (z-axis): -158,27°
Roll (x-axis): 98,02°, Pitch (y-axis): 36,77°, Yaw (z-axis): -158,28°
Roll (x-axis): 97,96°, Pitch (y-axis): 36,71°, Yaw (z-axis): -158,25°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
Roll (x-axis): 97,94°, Pitch (y-axis): 36,80°, Yaw (z-axis): -158,24°
