Euler Angles for hand rotation relative to Arm):Mean values: X: -0,21, Y: -0,22, Z: 0,06
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,14°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,13°, Yaw (z-axis): 155,94°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,11°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
Roll (x-axis): 94,19°, Pitch (y-axis): 22,12°, Yaw (z-axis): 155,95°
